*unit,GtC/yr,GtC/yr,MtCH4/yr,MtCH4/yr,MtN2O-N/yr,MtN2O-N/yr,MtS/yr,MtS/yr,MtCO/yr,MtCO/yr,Mt/yr,Mt/yr,MtN/yr,MtN/yr,Mt/yr,Mt/yr,Mt/yr,Mt/yr,MtN/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
year,co2i,co2l,ch4i,ch4l,n2oi,n2ol,so2i,so2l,coi,col,voci,vocl,noxi,noxl,bci,bcl,oci,ocl,nh3i,nh3l,hfc125,hfc134a,hfc143a,hfc227ea,hfc23,hfc245fa,hfc32,hfc4310mee,hfc152a,hfc236fa,hfc365mfc,hfc134,hfc143,hfc41,nf3,cf4,c3f8,cc4f8,c4f10,c5f12,cfc11,cfc12,cfc113,cfc114,cfc115,ccl4,ch3ccl3,hcfc22,hcfc141b,hcfc142b,halon1211,halon1202,halon1301,halon2402,ch3br,ch3cl
"1962.333",0.482331429681562,0.244441215276587,36.4139017202013,2.20320904516831,0.531001897756374,0.0586662201499171,6.98749103027677,0.17260513251592,105.113569556891,49.1854773286203,20.361613701613,8.75226580945146,3.7336977845617,1.61008645407853,0.774037294765998,0.282192122432639,3.78209601640342,2.38924238885473,3.45292381011436,0.580448633412334,0,0,0,0,0.176108573117024,0,0,0,0,0,0,0,0,0,0,1.59358093564058,0,0,0,0,12.5167222222222,21.2822222222222,1.44288888888889,1.20872222222222,0,20.0555555555556,4.88333333333333,2.08566666666667,0,0,0.000277777777777778,0.0000555555555555556,0.0000555555555555556,0.000388888888888889,27.6497222222222,559.325055555556
"1962.5",0.486854329347543,0.244834826632369,36.6493709249652,2.28103089604998,0.534402196779816,0.0591461855909619,7.0319303881084,0.17422992571951,106.357311993036,50.1629880601926,20.6623493952492,8.97032286169696,3.76656926013273,1.62410059067949,0.776844550721397,0.284412142572228,3.81948614549059,2.42555616947999,3.47751440189813,0.58841625221277,0,0,0,0,0.178589155329456,0,0,0,0,0,0,0,0,0,0,1.75348910827053,0,0,0,0,12.9516666666667,21.8676666666667,1.477,1.21575,0,20.1666666666667,4.97333333333333,2.16408333333333,0,0,0.000416666666666667,0.0000833333333333333,0.0000833333333333333,0.000583333333333333,27.6745,559.8985
"1962.667",0.491377229013525,0.245228437988152,36.8848401297291,2.35885274693165,0.537802495803258,0.0596261510320066,7.07636974594002,0.175854718923099,107.60105442918,51.1404987917649,20.9630850888854,9.18837991394247,3.79944073570377,1.63811472728045,0.779651806676795,0.286632162711816,3.85687627457778,2.46186995010525,3.50210499368189,0.596383871013206,0,0,0,0,0.181069737541888,0,0,0,0,0,0,0,0,0,0,1.91339728090048,0,0,0,0,13.3866111111111,22.4531111111111,1.51111111111111,1.22277777777778,0,20.2777777777778,5.06333333333333,2.2425,0,0,0.000555555555555556,0.000111111111111111,0.000111111111111111,0.000777777777777778,27.6992777777778,560.471944444444
"1962.833",0.495900128679506,0.245622049343934,37.1203093344928,2.43667459781332,0.541202794826699,0.0601061164730513,7.12080910377165,0.177479512126689,108.844796865324,52.1180095233372,21.2638207825217,9.40643696618797,3.83231221127482,1.65212886388142,0.782459062632194,0.288852182851404,3.89426640366494,2.4981837307305,3.52669558546565,0.604351489813641,0,0,0,0,0.18355031975432,0,0,0,0,0,0,0,0,0,0,2.07330545353042,0,0,0,0,13.8215555555556,23.0385555555556,1.54522222222222,1.22980555555556,0,20.3888888888889,5.15333333333333,2.32091666666667,0,0,0.000694444444444444,0.000138888888888889,0.000138888888888889,0.000972222222222222,27.7240555555556,561.045388888889
"1963",0.500423028345487,0.246015660699716,37.3557785392567,2.51449644869499,0.54460309385014,0.0605860819140961,7.16524846160327,0.179104305330279,110.088539301469,53.0955202549096,21.5645564761579,9.62449401843347,3.86518368684584,1.66614300048237,0.785266318587592,0.291072202990992,3.93165653275211,2.53449751135575,3.55128617724942,0.612319108614077,0,0,0,0,0.186030901966752,0,0,0,0,0,0,0,0,0,0,2.23321362616037,0,0,0,0,14.2565,23.624,1.57933333333333,1.23683333333333,0,20.5,5.24333333333333,2.39933333333333,0,0,0.000833333333333333,0.000166666666666667,0.000166666666666667,0.00116666666666667,27.7488333333333,561.618833333333
"1963.167",0.504623466690807,0.246382293541044,37.437751595588,2.43882215114409,0.546899458573943,0.0598285804835439,7.21363277973688,0.177323860121733,109.295297405906,52.0798635143055,21.4272509165811,9.40272293939175,3.86285818424996,1.64505127823693,0.782447553464056,0.288379838244621,3.89296555443584,2.49655073186116,3.55547970931898,0.60443108901831,0,0,0,0,0.18872720358857,0,0,0,0,0,0,0,0,0,0,2.19603409925337,0,0,0,0,14.7009166666667,24.2678055555556,1.61758333333333,1.24436111111111,0.00625,20.6111111111111,5.37491666666667,2.46561111111111,0,0,0.00108333333333333,0.000194444444444444,0.000222222222222222,0.00136111111111111,27.7743055555556,562.14425
"1963.333",0.508823905036127,0.246748926382373,37.5197246519193,2.36314785359319,0.549195823297747,0.0590710790529918,7.2620170978705,0.175543414913187,108.502055510344,51.0642067737016,21.2899453570043,9.18095186034998,3.86053268165407,1.62395955599148,0.77962878834052,0.28568747349825,3.85427457611955,2.45860395236656,3.55967324138855,0.596543069422544,0,0,0,0,0.191423505210387,0,0,0,0,0,0,0,0,0,0,2.15885457234637,0,0,0,0,15.1453333333333,24.9116111111111,1.65583333333333,1.25188888888889,0.0125,20.7222222222222,5.5065,2.53188888888889,0,0,0.00133333333333333,0.000222222222222222,0.000277777777777778,0.00155555555555556,27.7997777777778,562.669666666667
"1963.5",0.513024343381446,0.247115559223701,37.6016977082505,2.28747355604229,0.55149218802155,0.0583135776224397,7.31040141600411,0.173762969704641,107.708813614782,50.0485500330976,21.1526397974275,8.95918078130827,3.8582071790582,1.60286783374604,0.776810023216984,0.282995108751879,3.81558359780328,2.42065717287197,3.56386677345812,0.588655049826777,0,0,0,0,0.194119806832205,0,0,0,0,0,0,0,0,0,0,2.12167504543936,0,0,0,0,15.58975,25.5554166666667,1.69408333333333,1.25941666666667,0.01875,20.8333333333333,5.63808333333333,2.59816666666667,0,0,0.00158333333333333,0.00025,0.000333333333333333,0.00175,27.82525,563.195083333333
"1963.667",0.517224781726766,0.247482192065029,37.6836707645818,2.21179925849139,0.553788552745353,0.0575560761918876,7.35878573413772,0.171982524496096,106.915571719219,49.0328932924936,21.0153342378506,8.73740970226654,3.85588167646231,1.58177611150059,0.773991258093447,0.280302744005508,3.77689261948699,2.38271039337737,3.56806030552768,0.58076703023101,0,0,0,0,0.196816108454023,0,0,0,0,0,0,0,0,0,0,2.08449551853236,0,0,0,0,16.0341666666667,26.1992222222222,1.73233333333333,1.26694444444444,0.025,20.9444444444444,5.76966666666667,2.66444444444444,0,0,0.00183333333333333,0.000277777777777778,0.000388888888888889,0.00194444444444444,27.8507222222222,563.7205
"1963.833",0.521425220072085,0.247848824906358,37.7656438209131,2.13612496094049,0.556084917469156,0.0567985747613355,7.40717005227134,0.17020207928755,106.122329823657,48.0172365518897,20.8780286782738,8.51563862322481,3.85355617386642,1.56068438925514,0.77117249296991,0.277610379259137,3.7382016411707,2.34476361388277,3.57225383759725,0.572879010635243,0,0,0,0,0.19951241007584,0,0,0,0,0,0,0,0,0,0,2.04731599162535,0,0,0,0,16.4785833333333,26.8430277777778,1.77058333333333,1.27447222222222,0.03125,21.0555555555556,5.90125,2.73072222222222,0,0,0.00208333333333333,0.000305555555555556,0.000444444444444444,0.00213888888888889,27.8761944444444,564.245916666667
"1964",0.525625658417405,0.248215457747686,37.8476168772443,2.06045066338959,0.558381282192958,0.0560410733307832,7.45555437040495,0.168421634079004,105.329087928094,47.0015798112856,20.7407231186971,8.29386754418307,3.85123067127054,1.5395926670097,0.768353727846374,0.274918014512766,3.69951066285443,2.30681683438818,3.57644736966683,0.564990991039476,0,0,0,0,0.202208711697658,0,0,0,0,0,0,0,0,0,0,2.01013646471835,0,0,0,0,16.923,27.4868333333333,1.80883333333333,1.282,0.0375,21.1666666666667,6.03283333333333,2.797,0,0,0.00233333333333333,0.000333333333333333,0.0005,0.00233333333333333,27.9016666666667,564.771333333333
"1964.167",0.529555378038347,0.248650607585889,38.0337250772817,2.08891150954483,0.561905628029554,0.0558175752721902,7.49558324508917,0.16852716129927,105.836444875778,47.277883977586,20.8899216119261,8.35886076019603,3.86866030734603,1.53915619611802,0.768846501296197,0.275195788870412,3.7070189849368,2.31455668250885,3.60165477921266,0.567103550738365,0,0,0,0,0.2051394916016,0,0,0,0,0,0,0,0,0,0,2.01014317108527,0,0,0,0,17.3177777777778,28.0705,1.85252777777778,1.28986111111111,0.0435833333333333,21.1666666666667,6.36336111111111,2.90066666666667,0,0,0.00283333333333333,0.000416666666666667,0.000555555555555556,0.00272222222222222,27.9279166666667,565.2455
"1964.333",0.533485097659289,0.249085757424092,38.2198332773192,2.11737235570007,0.565429973866148,0.055594077213597,7.53561211977341,0.168632688519536,106.343801823461,47.5541881438866,21.0391201051552,8.42385397620899,3.88608994342149,1.53871972522632,0.769339274746019,0.275473563228057,3.71452730701919,2.32229653062952,3.62686218875852,0.569216110437256,0,0,0,0,0.208070271505542,0,0,0,0,0,0,0,0,0,0,2.01014987745219,0,0,0,0,17.7125555555556,28.6541666666667,1.89622222222222,1.29772222222222,0.0496666666666667,21.1666666666667,6.69388888888889,3.00433333333333,0,0,0.00333333333333333,0.0005,0.000611111111111111,0.00311111111111111,27.9541666666667,565.719666666667
"1964.5",0.537414817280231,0.249520907262295,38.4059414773566,2.14583320185532,0.568954319702743,0.0553705791550039,7.57564099445762,0.168738215739802,106.851158771144,47.830492310187,21.1883185983843,8.48884719222193,3.90351957949696,1.53828325433463,0.769832048195842,0.275751337585703,3.72203562910158,2.3300363787502,3.65206959830435,0.571328670136145,0,0,0,0,0.211001051409484,0,0,0,0,0,0,0,0,0,0,2.0101565838191,0,0,0,0,18.1073333333333,29.2378333333333,1.93991666666667,1.30558333333333,0.05575,21.1666666666667,7.02441666666667,3.108,0,0,0.00383333333333333,0.000583333333333333,0.000666666666666667,0.0035,27.9804166666667,566.193833333333
