*unit,GtC/yr,GtC/yr,MtCH4/yr,MtCH4/yr,MtN2O-N/yr,MtN2O-N/yr,MtS/yr,MtS/yr,MtCO/yr,MtCO/yr,Mt/yr,Mt/yr,MtN/yr,MtN/yr,Mt/yr,Mt/yr,Mt/yr,Mt/yr,MtN/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
year,co2i,co2l,ch4i,ch4l,n2oi,n2ol,so2i,so2l,coi,col,voci,vocl,noxi,noxl,bci,bcl,oci,ocl,nh3i,nh3l,hfc125,hfc134a,hfc143a,hfc227ea,hfc23,hfc245fa,hfc32,hfc4310mee,hfc152a,hfc236fa,hfc365mfc,hfc134,hfc143,hfc41,nf3,cf4,c3f8,cc4f8,c4f10,c5f12,cfc11,cfc12,cfc113,cfc114,cfc115,ccl4,ch3ccl3,hcfc22,hcfc141b,hcfc142b,halon1211,halon1202,halon1301,halon2402,ch3br,ch3cl
1873,0.16794514701982,0.634815225192822,66.0035903567828,11.8924533883169,0.610833227471197,0.333894291003955,3.73468953418733,1.06215702890619,390.347794358418,289.499586099142,63.0845289725846,50.429585354926,10.0606699598453,9.47588647465254,2.92504301078567,1.69616889556504,20.0791530063524,14.9004750650171,8.70404679025882,3.59703267125836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926167602030306,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,157.267,3100.211
1874,0.162498636260176,0.642093892841868,67.4270310508457,12.0556561465946,0.646528031847279,0.351111752634406,3.73788202506289,1.07818128635691,394.608027569099,293.536598133192,63.9491061647104,51.2245718465146,10.2092317740442,9.61291329378402,2.94707343927129,1.7150204485312,20.3148938755203,15.1221003677706,8.78936152165111,3.64511306167559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926203995248112,0,0,0,0,0,0,0,0,0,2.663,0,0,0,0,0,0,0,0,157.267,3100.211
1875,0.172395031762759,0.649923024599208,68.4262219664747,11.7946091264387,0.646227811581342,0.329877842712374,3.88084390651226,1.05294526008096,389.313102546403,287.305546527848,62.8357433198562,49.9894563488773,10.0517751226456,9.43611640428342,2.93109235492425,1.68645901443962,19.9692837313891,14.7480943751947,8.74459530477431,3.56258458880043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926240388465912,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,157.267,3100.211
1876,0.17609367942427,0.657597869540646,69.7794363685003,11.8875855926794,0.665514891602308,0.32825584225197,3.99393534487114,1.05814018677365,390.960322456652,288.356148177605,63.1720773197971,50.2262888265767,9.95161905917474,9.31438223507934,2.94112179312238,1.68839230356631,20.1384970278124,14.89683408158,8.82907683367464,3.60906751065708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926276871101946,0,0,0,0,0,0,0,0,0,2.989,0,0,0,0,0,0,0,0,157.267,3100.211
1877,0.180235030555869,0.66424133948961,71.1017516115469,11.9496628999409,0.693091817816915,0.335811084780279,4.11108272045931,1.0673219163312,394.640556902917,291.275927367772,63.7540841102364,50.6933090618659,10.256336933099,9.6000620636934,2.97472796733592,1.71021719544793,20.222185276409,14.9544225562228,8.87047114381105,3.61194267919132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926313621992652,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,157.267,3100.211
1878,0.182523500417654,0.671123249097132,72.4130320053062,12.0007053579152,0.723942241832769,0.34897597526873,4.19348583326465,1.07668794195869,397.502645880739,293.531766740941,64.2911060510456,51.1265466889787,10.4597988538025,9.78671699959824,2.99562330015585,1.72286511740967,20.3108895844525,15.0237416210027,8.91437286142037,3.61683329244497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926350283465136,0,0,0,0,0,0,0,0,0,3.275,0,0,0,0,0,0,0,0,157.267,3100.211
1879,0.196791942684741,0.678107532169452,73.794875572172,12.1223109889964,0.726694233737474,0.338138587259034,4.39293737155081,1.07877103372802,399.545442670409,294.404267183557,64.610690565239,51.2960528519045,10.2847073458574,9.58448902595352,3.01560931466488,1.72424165613961,20.5085614912611,15.1817885686514,9.012240907675,3.67528756487372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092638712377407,0,0,0,0,0,0,0,0,0,3.396,0,0,0,0,0,0,0,0,157.267,3100.211
1880,0.224440925553634,0.684289695174654,74.9162602392658,11.983457720305,0.72808361232718,0.331098662045798,4.67153391765215,1.06629706662886,397.388515722191,290.45976001082,64.1343752048467,50.6212329336654,10.0968369578026,9.35684881428492,3.01275169321151,1.69886632104786,20.4055135678608,15.03156971098,9.01946154496127,3.64247199354065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926423695828326,0,0,0,0,0,0,0,0,0,3.573,0,0,0,0,0,0,0,0,157.267,3100.211
1881,0.229514410622128,0.72203790205719,76.2301560857155,11.9821180879981,0.738543056784071,0.336618837350615,4.85242720576619,1.07134886403767,399.812879449702,292.081933016124,64.4930674692145,50.8621490540947,10.3825476714622,9.62155861030038,3.0484916238622,1.7136128185988,20.4021671742749,15.0012640348814,9.04704762016177,3.61993566101585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926487808696056,0,0,0,0,0,0,0,0,0,3.726,0,0,0,0,0,0,0,0,157.267,3100.211
1882,0.243295658543251,0.67374821872098,77.4790459504544,11.9157724739804,0.733923616159196,0.328021645914781,5.06229464809462,1.05889301362991,397.814642322343,288.929161722898,64.063520704563,50.2919557272205,10.1223599860859,9.33573951288924,3.05326337010718,1.69333857334045,20.352412292962,14.9146364882492,9.09926137479816,3.62115379865024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926551921563786,0,0,0,0,0,0,0,0,0,3.883,0,0,0,0,0,0,0,0,157.267,3100.211
