year,ssp1,ssp2,ssp3,ssp4,ssp5
1929,7.48251311,6.618102446,7.232377001,6.138557423,6.376976497
1930,7.618958463,6.738637789,7.364106514,6.250501933,6.49326948
1931,7.757710432,6.861350879,7.498188643,6.364302778,6.611518907
1932,7.899021586,6.986476347,7.634949655,6.480370782,6.73192263
1933,8.043028132,7.113647983,7.773975168,6.598344398,6.854640517
1934,8.189460352,7.24337248,7.915671383,6.718603568,6.979412413
1935,8.33857386,7.37523078,8.059805247,6.84092448,7.106669581
1936,8.490582642,7.50966044,8.206551499,6.965620718,7.236027206
1937,8.645125197,7.64634553,8.356079634,7.092380327,7.367681764
1938,8.802461293,7.78545402,8.508193491,7.221442293,7.501960431
1939,8.96264435,7.927155592,8.662985887,7.352854024,7.638468216
1940,9.125732628,8.071377813,8.820637966,7.486782231,7.777452808
1941,9.292046362,8.218464699,8.981119721,7.623031199,7.918923107
1942,9.461161282,8.368005439,9.144573474,7.761686735,8.063221303
1943,9.633308135,8.520260587,9.311233884,7.903130557,8.20997703
1944,9.808862028,8.675494743,9.480668517,8.046948284,8.359581588
1945,9.987376376,8.833369992,9.653422219,8.193610471,8.511642845
1946,10.16908383,8.994369089,9.829090794,8.342639628,8.666555958
1947,10.35413102,9.15796171,10.00790774,8.49442861,8.824458713
1948,10.54248059,9.324555466,10.19002231,8.649114041,8.984951928
1949,10.73433666,9.494156252,10.3753484,8.806477278,9.148353866
1950,10.92957098,9.666820248,10.56409116,8.966382233,9.31476466
1951,11.46998198,10.14474574,11.08638132,9.409866027,9.775281075
1952,12.0368133,10.64611595,11.63425722,9.874824072,10.25829425
1953,12.63159823,11.17214864,12.20911874,10.36278403,10.7651345
1954,13.25514688,11.72361082,12.81185221,10.87426952,11.29649502
1955,13.90910844,12.30218216,13.44396939,11.41093486,11.8540709
1956,14.59526041,12.9087536,14.10712417,11.97360562,12.43854269
1957,15.3145555,13.54496845,14.80231592,12.56385639,13.05175365
1958,16.06854244,14.2119931,15.53111567,13.18262677,13.69424318
1959,16.85958324,14.91157713,16.29566604,13.83118553,14.3683625
1960,17.68882279,15.64500997,17.09719066,14.51168802,15.07526839
1961,18.5586083,16.41451456,17.93818774,15.22538484,15.81644799
1962,19.47115589,17.22147592,18.81986108,15.97396928,16.59408347
1963,20.42831407,18.06809132,19.74531319,16.75910198,17.41009331
1964,21.43358412,18.95716289,20.71663596,17.5835598,18.26652681
1965,22.48776736,19.88958503,21.73588239,18.44871714,19.1652248
1966,23.5936502,20.86746826,22.80452855,19.35572964,20.10751747
1967,24.75245522,21.89262585,23.92486802,20.30655901,21.09527254
1968,25.96758219,22.9673351,25.09936979,21.30341081,22.13090881
1969,27.24176464,24.09447261,26.33081054,22.34885718,23.21657107
1970,28.57789924,25.27619301,27.62230598,23.44497446,24.35527701
1971,29.97899227,26.51530669,28.97653816,24.59460324,25.5495488
1972,31.83330138,28.15527389,30.7688283,26.11566878,27.12968775
1973,33.80169981,29.89605711,32.67130626,27.73023999,28.80696464
1974,34.99147967,30.94864227,33.82124118,28.70656166,29.82124254
1975,36.22456251,32.03923962,35.0130672,29.71802576,30.87209144
1976,37.50208733,33.1690934,36.24794052,30.76598184,31.96076435
1977,38.82497856,34.33938405,37.52647102,31.85154344,33.088405
1978,40.19494514,35.55063128,38.8505428,32.97533617,34.25591474
1979,41.61261064,36.8047668,40.22100002,34.1384605,35.46429246
1980,43.0807764,38.10308958,41.63973749,35.3426798,36.71530513
1981,44.32798324,39.20645834,42.84518275,36.36594612,37.77794148
1982,45.61224719,40.34222772,44.08695162,37.41988867,38.87277058
1983,46.93571062,41.51298231,45.36610944,38.50553717,40.00083824
1984,48.30000003,42.71959029,46.68482037,39.62492649,41.16353666
1985,49.70475898,43.9618982,48.04255724,40.7771492,42.36065939
1986,51.15008835,45.2402237,49.43953014,41.96282628,43.59229093
1987,52.63740056,46.5554995,50.87701231,43.18274796,44.85956232
1988,54.16754206,47.90918017,52.35602459,44.43810898,46.16398353
1989,55.74190761,49.30134571,53.87739143,45.72972165,47.50559224
1990,57.3605996,50.73340859,55.44257684,47.05791301,48.88536071
1991,59.01253904,52.19417101,57.03888039,48.4133421,50.29316197
1992,60.71566539,53.70064136,58.68483398,49.80989997,51.74456195
1993,62.47248645,55.25479112,60.38342202,51.25166909,53.24180811
1994,64.28057004,56.85414083,62.13097163,52.73488676,54.78269009
1995,66.13795042,58.49667296,63.92618211,54.25856649,56.36559272
1996,68.04568926,60.18405679,65.76999177,55.82400715,57.99180075
1997,70.00694091,61.91869151,67.66560092,57.43231401,59.66277259
1998,72.02277487,63.7014629,69.61419043,59.08665864,61.38089769
1999,74.0955744,65.53466678,71.61776997,60.78708589,63.14755899
2000,76.22599157,67.41909522,73.6767856,62.53455787,64.96304857
