year,ssp1,ssp2,ssp3,ssp4,ssp5
2168,6025.332719,8027.757809,13956.32087,9007.934977,7011.705932
2169,6024.063547,8026.367634,13958.50159,9007.538062,7011.120171
2170,6022.85808,8025.04719,13960.57358,9007.161009,7010.563743
2171,6021.713111,8023.79297,13962.54226,9006.802823,7010.035177
2172,6020.625592,8022.601643,13964.41277,9006.46256,7009.533077
2173,6019.59263,8021.470046,13966.18998,9006.139322,7009.056115
2174,6018.611481,8020.395176,13967.87854,9005.832256,7008.603031
2175,6017.679537,8019.374184,13969.48286,9005.540554,7008.172628
2176,6016.794324,8018.404361,13971.00714,9005.263445,7007.76377
2177,6015.953493,8017.483138,13972.45535,9005.0002,7007.375378
2178,6015.154812,8016.608075,13973.8313,9004.750124,7007.006424
2179,6014.396163,8015.776853,13975.13857,9004.512558,7006.655936
2180,6013.675535,8014.987271,13976.38059,9004.286876,7006.322989
2181,6012.991018,8014.237241,13977.56062,9004.072484,7006.006704
2182,6012.3408,8013.524778,13978.68173,9003.868816,7005.706247
2183,6011.723158,8012.847996,13979.74687,9003.675336,7005.420824
2184,6011.136456,8012.205107,13980.75883,9003.491533,7005.149683
2185,6010.579143,8011.594409,13981.72026,9003.316925,7004.892109
2186,6010.049743,8011.01429,13982.63368,9003.151049,7004.647422
2187,6009.546856,8010.463216,13983.50149,9002.993471,7004.414978
2188,6009.069153,8009.93973,13984.32595,9002.843773,7004.194163
2189,6008.61537,8009.44245,13985.10924,9002.701563,7003.984395
2190,6008.184308,8008.970063,13985.8534,9002.566466,7003.785122
2191,6007.774827,8008.521321,13986.56039,9002.438125,7003.595817
2192,6007.385847,8008.09504,13987.23206,9002.316203,7003.415982
2193,6007.016338,8007.690093,13987.87018,9002.200379,7003.245143
2194,6006.665327,8007.305413,13988.47642,9002.090347,7003.082851
2195,6006.331885,8006.939984,13989.05238,9001.985818,7002.928676
2196,6006.015132,8006.592842,13989.59955,9001.886517,7002.782213
2197,6005.714232,8006.263071,13990.11939,9001.792182,7002.643076
2198,6005.428391,8005.949801,13990.61326,9001.702564,7002.510898
2199,6005.156855,8005.652206,13991.08245,9001.617428,7002.385332
2200,6004.898907,8005.369501,13991.52819,9001.53655,7002.266046
2201,6004.653867,8005.10094,13991.95166,9001.459716,7002.152727
2202,6004.421088,8004.845816,13992.35396,9001.386725,7002.045074
2203,6004.199956,8004.603455,13992.73617,9001.317384,7001.942807
2204,6003.989888,8004.37322,13993.09927,9001.25151,7001.845653
2205,6003.790331,8004.154502,13993.44422,9001.18893,7001.753359
2206,6003.600758,8003.946726,13993.77194,9001.12948,7001.665681
2207,6003.420668,8003.749343,13994.08328,9001.073003,7001.582387
2208,6003.249589,8003.561834,13994.37905,9001.019349,7001.503259
2209,6003.087067,8003.383705,13994.66005,9000.968379,7001.428089
2210,6002.932676,8003.214486,13994.927,9000.919958,7001.356677
2211,6002.786008,8003.053731,13995.1806,9000.873958,7001.288837
2212,6002.646677,8002.901016,13995.42153,9000.830258,7001.22439
2213,6002.514316,8002.755941,13995.65042,9000.788743,7001.163165
2214,6002.388575,8002.618121,13995.86787,9000.749304,7001.105002
2215,6002.269124,8002.487195,13996.07445,9000.711838,7001.049748
2216,6002.155647,8002.362817,13996.2707,9000.676244,7000.997257
2217,6002.047846,8002.244659,13996.45714,9000.642431,7000.947391
2218,6001.945437,8002.132411,13996.63426,9000.610308,7000.900018
2219,6001.848151,8002.025777,13996.80253,9000.579792,7000.855015
2220,6001.755729,8001.924476,13996.96239,9000.550801,7000.812261
2221,6001.667931,8001.828241,13997.11425,9000.523261,7000.771646
2222,6001.584523,8001.736819,13997.25852,9000.497097,7000.733062
2223,6001.505287,8001.649969,13997.39558,9000.472241,7000.696407
2224,6001.430014,8001.567463,13997.52579,9000.448629,7000.661585
2225,6001.358505,8001.489082,13997.64949,9000.426197,7000.628504
2226,6001.290572,8001.414622,13997.76701,9000.404886,7000.597078
2227,6001.226037,8001.343885,13997.87865,9000.384642,7000.567222
2228,6001.164729,8001.276685,13997.98471,9000.365409,7000.53886
2229,6001.106488,8001.212846,13998.08547,9000.347138,7000.511916
2230,6001.051158,8001.152199,13998.18119,9000.329781,7000.48632
2231,6000.998596,8001.094585,13998.27212,9000.313292,7000.462003
2232,6000.948662,8001.039853,13998.35851,9000.297627,7000.438902
2233,6000.901226,8000.987857,13998.44058,9000.282745,7000.416956
2234,6000.856161,8000.938461,13998.51855,9000.268608,7000.396108
2235,6000.81335,8000.891535,13998.59262,9000.255177,7000.376302
2236,6000.77268,8000.846956,13998.66298,9000.242418,7000.357486
2237,6000.734044,8000.804606,13998.72983,9000.230297,7000.339612
2238,6000.697339,8000.764374,13998.79334,9000.218782,7000.322631
2239,6000.66247,8000.726154,13998.85367,9000.207843,7000.306499
2240,6000.629345,8000.689844,13998.91098,9000.197451,7000.291173
