year,ssp1,ssp2,ssp3,ssp4,ssp5
2001,4.83173,4.43385,4.71807,4.20646,4.32015
2002,4.91499,4.51022,4.79934,4.27892,4.39457
2003,4.99868,4.58702,4.88106,4.3518,4.4694
2004,5.08299,4.66439,4.96339,4.4252,4.5448
2005,4.94357,4.53645,4.82725,4.30381,4.42014
2006,5.04365,4.63006,4.92469,4.38574,4.50423
2007,5.13768,4.71797,5.01625,4.46275,4.5833
2008,5.22616,4.80069,5.1024,4.53529,4.65778
2009,5.30957,4.87861,5.18359,4.6037,4.72802
2010,5.3883,4.95218,5.26028,4.66839,4.7944
2011,5.5821,5.12533,5.4317,4.82099,4.96866
2012,5.76395,5.28729,5.59171,4.96393,5.13211
2013,5.93471,5.43887,5.74122,5.09792,5.28554
2014,6.09531,5.58099,5.88112,5.22373,5.42977
2015,6.24667,5.71449,6.01229,5.34213,5.56563
2016,6.38966,5.84023,6.13561,5.45381,5.69389
2017,6.52512,5.95894,6.25185,5.55941,5.81531
2018,6.65373,6.0713,6.3617,5.65949,5.93055
2019,6.77613,6.17793,6.46572,5.75464,6.04016
2020,6.95316,6.33425,6.62184,5.89622,6.19836
2021,7.20328,6.48861,6.71866,6.03623,6.47884
2022,7.43969,6.635,6.81122,6.16915,6.74254
2023,7.66359,6.77416,6.89991,6.29565,6.9908
2024,7.87614,6.90678,6.98505,6.41633,7.225
2025,8.07844,7.03348,7.06695,6.53173,7.44649
2026,8.2715,7.15483,7.14589,6.64234,7.65656
2027,8.45624,7.27133,7.22209,6.74861,7.85637
2028,8.63349,7.38342,7.29577,6.85093,8.047
2029,8.80397,7.49148,7.36712,6.94963,8.22939
2030,8.96831,7.59586,7.43629,7.04502,8.40436
2031,9.22076,7.7108,7.45782,7.1468,8.72808
2032,9.46259,7.82231,7.48094,7.24574,9.03498
2033,9.69481,7.93066,7.50533,7.34204,9.32669
2034,9.91835,8.03609,7.53074,7.43589,9.60471
2035,10.134,8.13878,7.55695,7.52745,9.87045
2036,10.3426,8.23893,7.58378,7.61687,10.1252
2037,10.5448,8.33672,7.61109,7.70429,10.3701
2038,10.741,8.4323,7.63875,7.78984,10.6061
2039,10.932,8.5258,7.66666,7.87362,10.8341
2040,11.1181,8.61735,7.69473,7.95574,11.055
2041,11.3268,8.7294,7.6999,8.03078,11.3485
2042,11.5313,8.83905,7.70659,8.10524,11.632
2043,11.7319,8.94645,7.71455,8.17909,11.9066
2044,11.929,9.05174,7.7236,8.25231,12.1732
2045,12.1227,9.15504,7.73355,8.32487,12.4324
2046,12.3133,9.25645,7.74427,8.39675,12.6851
2047,12.5011,9.35608,7.75561,8.46794,12.9318
2048,12.6862,9.45401,7.76748,8.53843,13.173
2049,12.8688,9.55036,7.77979,8.60823,13.4092
2050,13.0491,9.64519,7.79247,8.67735,13.6408
2051,13.238,9.76683,7.79802,8.74767,13.946
2052,13.4258,9.88642,7.8044,8.81786,14.2441
2053,13.6128,10.0041,7.81149,8.88788,14.5359
2054,13.7988,10.12,7.81919,8.95768,14.822
2055,13.9838,10.2342,7.82739,9.02721,15.1029
2056,14.168,10.3468,7.83603,9.09644,15.3789
2057,14.3514,10.4578,7.84501,9.16535,15.6506
2058,14.5339,10.5674,7.85429,9.2339,15.9183
2059,14.7156,10.6757,7.86382,9.30209,16.1824
2060,14.8965,10.7827,7.87355,9.3699,16.443
2061,15.09,10.9272,7.89308,9.44697,16.7949
2062,15.2837,11.0694,7.91244,9.52377,17.1403
2063,15.4775,11.2095,7.93163,9.60028,17.48
2064,15.6714,11.3476,7.95066,9.67651,17.8145
2065,15.8654,11.4839,7.9695,9.75244,18.1443
2066,16.0594,11.6185,7.98815,9.82805,18.4698
2067,16.2535,11.7514,8.0066,9.90332,18.7914
2068,16.4477,11.8829,8.02485,9.97826,19.1094
2069,16.6418,12.0129,8.04289,10.0528,19.4243
2070,16.8361,12.1417,8.06074,10.1271,19.7362
2071,17.023,12.2993,8.08378,10.2047,20.116
2072,17.2117,12.4551,8.10645,10.2823,20.4917
2073,17.4022,12.6093,8.12876,10.3598,20.8638
2074,17.5944,12.762,8.15075,10.4372,21.2326
2075,17.7881,12.9133,8.1724,10.5145,21.5985
2076,17.9832,13.0632,8.19375,10.5917,21.9619
2077,18.1797,13.212,8.21478,10.6687,22.3231
2078,18.3776,13.3596,8.23552,10.7457,22.6824
2079,18.5767,13.5062,8.25597,10.8224,23.0399
2080,18.777,13.6517,8.27612,10.899,23.3958
2081,18.9724,13.8264,8.30228,10.9775,23.8234
2082,19.1706,13.9997,8.32793,11.056,24.2485
2083,19.3716,14.1716,8.35309,11.1346,24.6715
2084,19.5751,14.3423,8.37779,11.2133,25.0927
2085,19.7812,14.512,8.40207,11.2919,25.5126
2086,19.9898,14.6806,8.42595,11.3706,25.9314
2087,20.2008,14.8484,8.44945,11.4493,26.3494
2088,20.4142,15.0154,8.47259,11.5279,26.767
2089,20.6299,15.1817,8.49538,11.6066,27.1842
2090,20.8478,15.3472,8.51781,11.6852,27.6012
2091,21.05,15.5396,8.5505,11.7738,28.0857
2092,21.2563,15.7308,8.5824,11.8622,28.5693
2093,21.4664,15.9209,8.61358,11.9503,29.0525
2094,21.6803,16.11,8.64408,12.0381,29.5357
2095,21.8979,16.2984,8.67398,12.1258,30.0192
2096,22.1192,16.486,8.70332,12.2134,30.5035
2097,22.3441,16.6731,8.73213,12.3008,30.9888
2098,22.5725,16.8596,8.76045,12.388,31.4753
2099,22.8045,17.0457,8.7883,12.4751,31.9632
2100,23.0276,17.2726,8.80628,12.5649,32.3777
2101,23.2497,17.4976,8.82319,12.6533,32.7874
2102,23.4707,17.7211,8.83908,12.7404,33.1939
2103,23.6905,17.9431,8.85408,12.826,33.5969
2104,23.9088,18.1634,8.86827,12.9103,33.9964
2105,24.1254,18.382,8.88175,12.9933,34.3924
2106,24.3403,18.5988,8.8946,13.075,34.7847
