"year","ssp1","ssp2","ssp3","ssp4","ssp5"
2093,53.9226088626,41.8247125392,17.8683420922,30.7020849527,95.7803903522
2094,54.6355956377,42.5280243362,17.9818873327,31.0263623468,97.9862557929
2095,55.3569041823,43.233832249,18.094846029,31.3511539269,100.2113328705
2096,56.0867103727,43.9421559524,18.2072256306,31.6764643896,102.4559285535
2097,56.8251945417,44.6530150308,18.3190333278,32.0022981751,104.720356118
2098,57.5725416964,45.3664289961,18.4302760695,32.3286594898,107.0049353505
2099,58.3289417409,46.082417305,18.5409605798,32.6555523272,109.3099927574
2100,59.0630932939,46.9129653248,18.6312052729,32.990412114,111.3774322497
2101,59.8068150612,47.7925729473,18.7320205602,33.3401957179,113.6324137615
2102,60.5338154573,48.6738887006,18.8365257055,33.6882319525,115.8974404494
2103,61.244287425,49.5569355331,18.9446083199,34.0345210299,118.1721676461
2104,61.9384384691,50.4417383183,19.0561626442,34.3790629818,120.4562521948
2105,62.6164889333,51.3283234681,19.1710891177,34.7218576604,122.7493523697
2106,63.2786703933,52.2167185756,19.2892939802,35.0629047417,125.0511278092
2107,63.9252241606,53.1069520879,19.4106889052,35.4022037288,127.3612394618
2108,64.5563998939,53.9990530044,19.5351906604,35.7397539582,129.6793495442
2109,65.1724543125,54.8930506024,19.6627207937,36.0755546053,132.0051215101
2110,65.7736500069,55.7889741851,19.7932053429,36.4096046924,134.3382200308
2111,66.360254342,56.686852854,19.9265745662,36.7419030965,136.6783109849
2112,66.932538448,57.586715301,20.0627626919,37.0724485584,139.0250614576
2113,67.4907762936,58.488589621,20.2017076866,37.4012396921,141.3781397501
2114,68.0352438382,59.3925031437,20.3433510392,37.7282749944,143.7372153951
2115,68.5662182566,60.2984822815,20.4876375596,38.0535528556,146.1019591825
2116,69.0839772334,61.2065523948,20.6345151924,38.37707157,148.47204319
2117,69.5887983221,62.1167376718,20.7839348413,38.6988293464,150.8471408217
2118,70.0809583639,63.0290610222,20.9358502074,39.0188243195,153.2269268522
2119,70.5607329639,63.9435439844,21.0902176362,39.3370545607,155.6110774759
2120,71.0283960195,64.8602066445,21.2469959758,39.6535180895,157.9992703622
2121,71.4842192978,65.7790675662,21.4061464438,39.9682128841,160.3911847138
2122,71.9284720583,66.700143732,21.5676325025,40.281136893,162.78650133
2123,72.3614207184,67.6234504927,21.7314197424,40.5922880453,165.1849026735
2124,72.783328557,68.5490015265,21.8974757725,40.9016642621,167.5860729398
2125,73.1944554547,69.4768088061,22.0657701173,41.2092634667,169.9896981293
2126,73.5950576675,70.4068825734,22.2362741202,41.515083595,172.3954661221
2127,73.9853876303,71.3392313202,22.4089608529,41.8191226059,174.8030667543
2128,74.3656937895,72.2738617763,22.5838050296,42.1213784908,177.2121918959
