,rcp26,rcp45,rcp60,rcp85
1878,-0.036675625,-0.036675625,-0.036675625,-0.036675625
1879,-0.029553125,-0.029553125,-0.029553125,-0.029553125
1880,-0.00942375,-0.00942375,-0.00942375,-0.00942375
1881,0.01064,0.01064,0.01064,0.01064
1882,0.0210525,0.0210525,0.0210525,0.0210525
1883,0.02190125,0.02190125,0.02190125,0.02190125
1884,0.010583125,0.010583125,0.010583125,0.010583125
1885,-0.010530625,-0.010530625,-0.010530625,-0.010530625
1886,-0.0316925,-0.0316925,-0.0316925,-0.0316925
1887,-0.044279375,-0.044279375,-0.044279375,-0.044279375
1888,-0.0505225,-0.0505225,-0.0505225,-0.0505225
1889,-0.0530425,-0.0530425,-0.0530425,-0.0530425
1890,-0.04025875,-0.04025875,-0.04025875,-0.04025875
1891,-0.01243375,-0.01243375,-0.01243375,-0.01243375
1892,0.01336125,0.01336125,0.01336125,0.01336125
1893,0.034181875,0.034181875,0.034181875,0.034181875
1894,0.04360125,0.04360125,0.04360125,0.04360125
1895,0.02968,0.02968,0.02968,0.02968
1896,0.0023975,0.0023975,0.0023975,0.0023975
1897,-0.01924125,-0.01924125,-0.01924125,-0.01924125
1898,-0.029859375,-0.029859375,-0.029859375,-0.029859375
1899,-0.036728125,-0.036728125,-0.036728125,-0.036728125
1900,-0.045101875,-0.045101875,-0.045101875,-0.045101875
1901,-0.05291125,-0.05291125,-0.05291125,-0.05291125
1902,-0.046388125,-0.046388125,-0.046388125,-0.046388125
1903,-0.01581125,-0.01581125,-0.01581125,-0.01581125
1904,0.00875,0.00875,0.00875,0.00875
1905,0.012630625,0.012630625,0.012630625,0.012630625
1906,0.016485,0.016485,0.016485,0.016485
1907,0.017793125,0.017793125,0.017793125,0.017793125
1908,0.013584375,0.013584375,0.013584375,0.013584375
1909,0.000923125,0.000923125,0.000923125,0.000923125
1910,-0.019236875,-0.019236875,-0.019236875,-0.019236875
1911,-0.034409375,-0.034409375,-0.034409375,-0.034409375
1912,-0.04139625,-0.04139625,-0.04139625,-0.04139625
1913,-0.03905125,-0.03905125,-0.03905125,-0.03905125
1914,-0.019149375,-0.019149375,-0.019149375,-0.019149375
1915,0.0196175,0.0196175,0.0196175,0.0196175
1916,0.0578375,0.0578375,0.0578375,0.0578375
1917,0.0783825,0.0783825,0.0783825,0.0783825
1918,0.071505,0.071505,0.071505,0.071505
1919,0.0426475,0.0426475,0.0426475,0.0426475
1920,0.013803125,0.013803125,0.013803125,0.013803125
1921,-0.00765625,-0.00765625,-0.00765625,-0.00765625
1922,-0.02118375,-0.02118375,-0.02118375,-0.02118375
1923,-0.022185625,-0.022185625,-0.022185625,-0.022185625
1924,-0.009104375,-0.009104375,-0.009104375,-0.009104375
1925,0.01456,0.01456,0.01456,0.01456
1926,0.04036375,0.04036375,0.04036375,0.04036375
1927,0.0554925,0.0554925,0.0554925,0.0554925
1928,0.051016875,0.051016875,0.051016875,0.051016875
1929,0.0412825,0.0412825,0.0412825,0.0412825
1930,0.032589375,0.032589375,0.032589375,0.032589375
1931,0.016454375,0.016454375,0.016454375,0.016454375
1932,-0.00354375,-0.00354375,-0.00354375,-0.00354375
1933,-0.013908125,-0.013908125,-0.013908125,-0.013908125
1934,6.5625E-05,6.5625E-05,6.5625E-05,6.5625E-05
1935,0.0409325,0.0409325,0.0409325,0.0409325
1936,0.081598125,0.081598125,0.081598125,0.081598125
1937,0.09006375,0.09006375,0.09006375,0.09006375
1938,0.0808325,0.0808325,0.0808325,0.0808325
1939,0.073845625,0.073845625,0.073845625,0.073845625
