"year","so2i","so2l","noxi","noxl","oci","ocl","bci","bcl"
1861,-0.0094260719,-0.0419946,-0.00072574641,-0.017355755,-0.0064038193,-0.016474671,0.016116968,0.045983811
1862,-0.0093711938,-0.039060439,-0.00067165026,-0.015980504,-0.005479989,-0.013761343,0.014872271,0.03822079
1863,-0.010150985,-0.040434846,-0.00070973777,-0.016337388,-0.006013833,-0.013797708,0.01616848,0.038287644
1864,-0.010907629,-0.040755303,-0.00075021517,-0.016693361,-0.0054213329,-0.013840251,0.015845383,0.038375025
1865,-0.011781786,-0.042774453,-0.00078983063,-0.017028934,-0.0066635471,-0.013885217,0.01820448,0.038472238
1866,-0.012398983,-0.044378994,-0.00082085892,-0.017206855,-0.0085316409,-0.013910817,0.021219725,0.038518716
1867,-0.013396894,-0.046754238,-0.00085972627,-0.017487801,-0.010055046,-0.013851725,0.024071483,0.03832554
1868,-0.013888724,-0.045877281,-0.00089106068,-0.017608344,-0.009234976,-0.013780034,0.023194699,0.03809943
1869,-0.01459884,-0.045907988,-0.00092755865,-0.01780889,-0.0088333016,-0.013712764,0.02308719,0.037884441
1870,-0.015243751,-0.045399645,-0.0009615478,-0.017934904,-0.0087918645,-0.013658715,0.023378722,0.037710024
1871,-0.016587921,-0.04718311,-0.0011758449,-0.024191372,-0.0096874133,-0.015662518,0.025359141,0.042434929
1872,-0.019005337,-0.050805096,-0.0014479514,-0.028398794,-0.010367265,-0.020025185,0.027581846,0.054551837
1873,-0.020542219,-0.052612399,-0.0015643657,-0.030289219,-0.011801618,-0.020762303,0.030512208,0.056393698
1874,-0.019906277,-0.048880914,-0.0015988642,-0.030504762,-0.011667359,-0.021128672,0.029603341,0.057337002
1875,-0.02151137,-0.049793991,-0.0016941836,-0.031367161,-0.01170479,-0.021511265,0.030649887,0.058345563
1876,-0.021777554,-0.04747713,-0.0017864534,-0.032746784,-0.0094443854,-0.022083636,0.027545797,0.059746261
1877,-0.022124505,-0.045852635,-0.0018557487,-0.033285152,-0.0086721088,-0.02244006,0.027105448,0.060675922
1878,-0.022448185,-0.044642297,-0.0019208764,-0.033717948,-0.0084604856,-0.022774804,0.027733052,0.061558526
1879,-0.024081713,-0.046339632,-0.0020196342,-0.034493817,-0.0092230074,-0.023089591,0.028628033,0.062393116
1880,-0.027019601,-0.049709422,-0.0021585701,-0.03560724,-0.01048708,-0.023408953,0.029824268,0.063245131
1881,-0.02797563,-0.047733201,-0.0023070594,-0.0365914,-0.0097483538,-0.025053925,0.029237083,0.067878512
1882,-0.029174899,-0.047040354,-0.0022930965,-0.035981571,-0.010007643,-0.022867063,0.029687835,0.061605542
1883,-0.031045127,-0.047492603,-0.0024029784,-0.036608934,-0.010494128,-0.02305146,0.030566336,0.062082111
1884,-0.031533236,-0.045896378,-0.0024707777,-0.036807004,-0.010431405,-0.023178117,0.031640205,0.062394296
1885,-0.031924638,-0.044396222,-0.0025350136,-0.036973417,-0.010421411,-0.023290026,0.032495274,0.062665958
1886,-0.032462866,-0.043064528,-0.0026390473,-0.038172271,-0.010264034,-0.023590448,0.033498278,0.063286545
1887,-0.034188051,-0.043808424,-0.0027439,-0.038834117,-0.011046995,-0.02359773,0.035420541,0.063235394
1888,-0.03765049,-0.046001963,-0.0029036263,-0.039847778,-0.011887787,-0.023561781,0.036282309,0.063068499
1889,-0.037827718,-0.044630104,-0.0029596138,-0.039955246,-0.011941075,-0.023552425,0.038644037,0.062989052
1890,-0.04098111,-0.04573109,-0.0031215759,-0.040705785,-0.012498364,-0.023535166,0.039388298,0.062890037
1891,-0.043523135,-0.045806955,-0.003272294,-0.041129548,-0.012750556,-0.023418814,0.03995783,0.06251624
1892,-0.045831329,-0.045702408,-0.003417228,-0.041475991,-0.012900647,-0.024113705,0.04102336,0.064454993
1893,-0.047957997,-0.045480299,-0.0035577998,-0.041763808,-0.013060835,-0.024218801,0.043004579,0.064716063
1894,-0.049957446,-0.045194601,-0.0036955978,-0.04201089,-0.013663909,-0.025094966,0.044827755,0.06717384
1895,-0.05188556,-0.044891879,-0.0038323673,-0.042234362,-0.014675709,-0.025325475,0.046403213,0.067794896
1896,-0.053799472,-0.044612498,-0.0039700016,-0.042450633,-0.015062534,-0.02545365,0.049938661,0.068124604
